Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
"LIC-LIC-01","TIM S A","50409428698","010","105812021","1798120","RUA FIRMINO FONTES","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","190","FB","","NA","760","100462102519","25","25","65","-1","X","21","100462102519","200","-10.981556","-37.05375","G","2024-11-21","2002-08-23","","4d5c019f5d54b","2041-12-08","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","1798120","RUA FIRMINO FONTES","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","310","FB","","NA","760","100462102519","25","25","65","-2","X","21","100462102519","200","-10.981556","-37.05375","G","2024-11-21","2002-08-23","","4d5c019f5d556","2041-12-08","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","1798138","RUA MARIO JORGE MENEZES VIEIRA","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","10","FB","Greenfield","não","760","100462102519","25","25","65","-2","X","32","100462102519","200","-10.96975","-37.04175","G","2023-08-04","2002-08-23","","5a339fb7b8048","2023-11-28","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","1798138","RUA MARIO JORGE MENEZES VIEIRA","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","190","FB","Greenfield","não","760","100462102519","25","25","65","-1","X","28","100462102519","200","-10.96975","-37.04175","G","2023-08-04","2002-08-23","","5a339fb7b8698","2023-11-28","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","1798138","RUA MARIO JORGE MENEZES VIEIRA","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","240","FB","Greenfield","não","760","100462102519","25","25","65","-2","X","32","100462102519","200","-10.96975","-37.04175","G","2023-08-04","2002-08-23","","5a339fb7b8d00","2023-11-28","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","684793580","AVENIDA  JOSINO JOSE DE ALMEIDA   503   AUGUSTO FRANCO","","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","40","FB","Greenfield","não","760","100462102519","25","25","65","-2","X","27","100462102519","200","-10.972386","-37.069475","G","2023-08-04","2004-09-27","Template 2","5a339fb7bcccc","2031-03-28","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","442403178","Rua Jornalista João B Santana","Lote 4","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","15","FB","Greenfield","sim","760","116672103257","25","25","65","0","X","30","116672103257","200","-10.956722","-37.047806","G","2024-08-27","1999-12-01","","5c78166aa7b95","2041-12-08","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","442403178","Rua Jornalista João B Santana","Lote 4","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","135","FB","Greenfield","sim","760","116672103257","25","25","65","0","X","30","116672103257","200","-10.956722","-37.047806","G","2024-08-27","1999-12-01","","5c78166aa81d4","2041-12-08","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","442403178","Rua Jornalista João B Santana","Lote 4","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","280","FB","Greenfield","sim","760","116672103257","25","25","65","0","X","30","116672103257","200","-10.956722","-37.047806","G","2024-08-27","1999-12-01","","5c78166aa8811","2041-12-08","","","Aracaju"
"LIC-LIC-01","TIM S A","50409428698","010","105812021","442403151","Rua Leonel Curvelo","-","SE","2800308","100MG7W","NR","SA-NSA","","3550","3550","0","FB","Greenfield","sim","760","116672103257","25","25","65","0","X","34","116672103257","200","-10.924639","-37.067389","G","2024-08-27","1999-12-01","","5c78166ab8f11","2041-12-08","","","Aracaju"
